Company ID,Total Billing Across Portfolio Last Month,Marvin Gardens,Park Place,Boardwalk,Ventnor,St. James Place,Tennessee,Kentucky,Pennslyvania,,,,,,,,,,
346774408,0.04210574,0.00000000,0.00000000,0.44262392,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
71960561,0.02729133,0.00000000,0.00000000,0.00000000,0.00000000,0.12873938,0.00000000,0.00000000,0.00000000,,,,,,,,,,
65047797,0.00037143,0.00000000,0.00000000,0.00390453,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
17859287,0.02974185,0.00000000,0.00000000,0.00000000,0.00000000,0.14029905,0.00000000,0.00000000,0.00000000,,,,,,,,,,
24412371,0.05678303,0.00000000,0.00000000,0.00000000,0.00000000,0.26785839,0.00000000,0.00000000,0.00000000,,,,,,,,,,
13206029,0.15941804,0.15946590,0.00000000,-0.00050316,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
1127729591,0.00177146,0.00000000,0.00000000,0.01862198,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
13780132,0.03041455,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.59273501,0.00000000,0.00000000,,,,,,,,,,
18059723,0.00189288,0.00000000,0.00000000,0.01989830,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
389930331,0.00250684,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04885467,0.00000000,0.00000000,,,,,,,,,,
7503938,0.00643916,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.12548979,0.00000000,0.00000000,,,,,,,,,,
21287085,0.00010046,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00195779,0.00000000,0.00000000,,,,,,,,,,
39881452,0.00761619,0.00000000,0.00000000,0.00000000,0.00000000,0.03592731,0.00000000,0.00000000,0.00000000,,,,,,,,,,
234717301,0.00985147,0.00000000,0.00000000,0.06305065,0.00000000,0.00000000,0.07510130,0.00000000,0.00000000,,,,,,,,,,
11403295,0.00060755,0.00000000,0.00000000,0.00638667,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
246280,0.11703767,0.00000000,0.00000000,0.00000000,0.00000000,0.55209319,0.00000000,0.00000000,0.00000000,,,,,,,,,,
139198552,0.02556093,0.00000000,0.00000000,0.00000000,0.00000000,0.12057667,0.00000000,0.00000000,0.00000000,,,,,,,,,,
346809098,0.00090117,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01756239,0.00000000,0.00000000,,,,,,,,,,
355685503,0.00074236,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01446751,0.00000000,0.00000000,,,,,,,,,,
37863465,0.00072704,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01416889,0.00000000,0.00000000,,,,,,,,,,
24134375,0.00387943,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07560451,0.00000000,0.00000000,,,,,,,,,,
31492511,0.00050841,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00990807,0.00000000,0.00000000,,,,,,,,,,
32080939,0.00057698,0.00000000,0.00000000,0.00000000,0.00000000,0.00272176,0.00000000,0.00000000,0.00000000,,,,,,,,,,
371531285,0.00048651,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00948139,0.00000000,0.00000000,,,,,,,,,,
353618990,0.00774434,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15092577,0.00000000,0.00000000,,,,,,,,,,
466915299,0.01505210,0.00000000,0.00000000,0.00000000,0.00000000,0.07100416,0.00000000,0.00000000,0.00000000,,,,,,,,,,
358390175,0.00014457,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00281748,0.00000000,0.00000000,,,,,,,,,,
49057090,0.00122641,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02390093,0.00000000,0.00000000,,,,,,,,,,
470768560,0.00252628,0.00000000,0.00544782,0.00896519,0.00000000,0.00000000,0.02099227,0.00000000,0.00000000,,,,,,,,,,
8274594,0.02115310,0.00000000,0.00000000,0.00000000,0.00000000,0.09978396,0.00000000,0.00000000,0.00000000,,,,,,,,,,
36048851,0.00038814,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00756421,0.00000000,0.00000000,,,,,,,,,,
66504682,0.00037512,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00731059,0.00000000,0.00000000,,,,,,,,,,
74305092,0.00018093,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00352608,0.00000000,0.00000000,,,,,,,,,,
353941062,0.00104236,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02031406,0.00000000,0.00000000,,,,,,,,,,
62637459,0.00221258,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04311993,0.00000000,0.00000000,,,,,,,,,,
39371338,0.00271406,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05289310,0.00000000,0.00000000,,,,,,,,,,
25349406,0.00115943,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02259556,0.00000000,0.00000000,,,,,,,,,,
194675030,0.00230537,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04492836,0.00000000,0.00000000,,,,,,,,,,
372048755,0.00140182,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02731940,0.00000000,0.00000000,,,,,,,,,,
31410925,0.00067988,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01324993,0.00000000,0.00000000,,,,,,,,,,
