ZoomInfo Company ID,Founded Year,Revenue (in 000s USD),Revenue Range (in USD),Est. Marketing Department Budget (in 000s USD),Est. Finance Department Budget (in 000s USD),Est. IT Department Budget (in 000s USD),Est. HR Department Budget (in 000s USD),Employees,Employee Range,Past 1 Year Employee Growth Rate,Past 2 Year Employee Growth Rate,SIC Code 1,SIC Code 2,SIC Codes,NAICS Code 1,NAICS Code 2,NAICS Codes,Primary Industry,Primary Sub-Industry,All Industries,All Sub-Industries,Industry Hierarchical Category,Secondary Industry Hierarchical Category,Alexa Rank,Ownership Type,Business Model,Certified Active Company,Certification Date,Total Funding Amount (in 000s USD),Recent Funding Amount (in 000s USD),Recent Funding Round,Recent Funding Date,Recent Investors,All Investors,Company City,Company State,Company Zip Code,Company Country,Number of Locations,Company Is Acquired,Company ID (Ultimate Parent),Company ID (Immediate Parent)
345761509,2011,3615,$1 mil. - $5 mil.,473,36,126,41,18,Employees.10to19,-25,5.9,7379,737,73;737;7379,541519,54151,54;541;5415;54151;541519,Business Services,Custom Software & IT Services,Business Services,Custom Software & IT Services,bizservice,bizservice.techconsulting,9698795,Private,B2B,Yes,24-Mar-21,150,150,Debt,28-Apr-20,PPP,PPP,Matawan,New Jersey,7747,United States,3,,,
60623490,1993,10614,$10 mil. - $25 mil.,817,106,498,45,16,Employees.10to19,0,0,8732,8721,87;872;8721;73;873;8732,541910,423120,54;541;5412;54121;5419;54191;541910;42;423;4231;42312;423120,Business Services,Advertising & Marketing,Business Services,Advertising & Marketing;Accounting Services,bizservice,bizservice.marketing,9548111,Private,B2B,No,,0,0,,,,,Colleyville,Texas,76034,United States,2,,,
458021803,,2351,$1 mil. - $5 mil.,307,35,86,9,4,Employees.1to4,0,0,8069,806,80;806;8069,622310,62231,62;622;6223;62231;622310,Retail,"Vitamins, Supplements & Health Stores",Retail;Hospitals & Physicians Clinics,"Vitamins, Supplements & Health Stores;Medical & Surgical Hospitals",retail,retail.health,11556677,Private,B2B,No,,0,0,,,,,Cleveland,Ohio,44195,United States,1,,,
126961807,2013,21833,$10 mil. - $25 mil.,1702,163,1178,214,95,Employees.50to99,-2.1,-2.1,6722,672,67;672;6722,525910,52591,52;525;5259;52591;525910,Finance,Investment Banking,Finance,Investment Banking,finance,finance.investment,14096776,Private,B2B,Yes,1-Oct-23,0,0,Private Equity,10-Oct-18,Sixth Street Partners;Dyal Capital Partners,Sixth Street Partners;Dyal Capital Partners,New York City,New York,10022,United States,3,,,
174965143,1983,4500000,$1 bil. - $5 bil.,650250,58500,1125000,81890,47000,Employees.10000plus,11.6,11.6,5812,581,58;581;5812,722513,722511,72;722;7225;72251;722511;722513,Hospitality,Restaurants,Hospitality,Restaurants,hospitality,hospitality.restaurant,470832,Private,B2B,Yes,7-Dec-23,0,0,,,,,Rosemead,California,91770,United States,17,,,
346911581,2001,1094,$1 mil. - $5 mil.,84,10,51,14,6,Employees.5to9,0,0,8742,874,87;874;8742,541613,54161,54;541;5416;54161;541613,Business Services,Advertising & Marketing,Business Services,Advertising & Marketing,bizservice,bizservice.marketing,16505765,Private,B2B,Yes,5-Dec-19,35,35,Debt,23-Feb-21,PPP,PPP,Fishers,Indiana,46038,United States,2,,,
371586933,2014,3736,$1 mil. - $5 mil.,295,37,175,46,20,Employees.20to49,0,25,8111,811,81;811;8111,541110,54111,54;541;5411;54111;541110,Law Firms & Legal Services,,Law Firms & Legal Services,,legal,,9634296,Private,B2B,Yes,5-Oct-23,0,0,,,,,Indianapolis,Indiana,46204,United States,3,,,
113688953,1937,1959457,$1 bil. - $5 bil.,158716,29391,72499,18294,7000,Employees.5000to9999,2.2,4.1,7699,3724,76;769;7699;37;372;3724;34;342;3429,811310,336412,81;811;8113;81131;811310;33;336;3364;33641;336412;332;3325;33251;332510,Manufacturing,Aerospace & Defense,Manufacturing;Consumer Services;Transportation,"Aerospace & Defense;Airlines, Airports & Air Services;Repair Services",mfg,mfg.aerospace,954842,Private,B2B,Yes,22-Feb-24,5000000,5000000,Private Equity,18-Dec-18,The Carlyle Group,The Carlyle Group,Scottsdale,Arizona,85253,United States,45,,,
200000107,2004,5000,$5 mil. - $10 mil.,575,50,235,183,81,Employees.50to99,11,17.4,8748,874,87;874;8748;73,541690,54169,54;541;5416;54169;541690,Business Services,Management Consulting,Business Services,Management Consulting,bizservice,bizservice.consulting,10576733,Private,B2B,Yes,21-Aug-19,0,0,,,,,Newton,Massachusetts,2462,United States,2,,7094674,7094674
477993396,2013,105026,$100 mil. - $250 mil.,13758,1050,3885,942,500,Employees.500to999,0,0,7389,7379,73;737;7372;7379;738;7389;7374;7373,541512,518210,51;518;5182;51821;518210;513;5132;51321;513210;54;541;5415;54151;541512,Software,Content & Collaboration Software,Software;Business Services,Content & Collaboration Software,software,software.contentcol,5449256,Private,B2B,Yes,5-Dec-23,0,0,,,,,Bloomington,Minnesota,55425,United States,20,,,
